should i wear uggs without socks?,I wouldn't recommend wearing warm fuzzy shoes without socks.
,"above all else you have to bring the correct measurements or
size of the models that they plan on .. Like, you know long legs low abdomen...
At that point you follow a model on a following paper then begin to draw you
garments on it simply like that ! :) second : Shading see some shading
procedures on this site and figure out how to shading.. To get that expert look
in planning  get assignment help online  what's more, btw you have to figure out how to
draw and shading with watercolor and hued pencils .."
,s
,Nice
,The leading assignment help UK firm offers state of the art services to its Help With Python Programming Homework clients with a promise of delivering all the required work well within the deadline.
,I'm also interested in learning more about fashion design. I have found most of these answers to be very helpful. We are happy to let you know that it is now possible to get reliable capstone project writing help. Simply click on: Nursing Capstone Project | DNP Capstone Projects
,thank you for sharing this website.free PSN codes
,"A top notch desire might be a program like Essay Writing Service UK because it's miles person friendly, smooth to examine and use, and also you do no longer have to know the way to draw in any respect with it to create professional fashion sketches. "
,"A top notch desire might be a program like Essay Writing Service UK because it's miles person friendly, smooth to examine and use, and also you do no longer have to know the way to draw in any respect with it to create professional fashion sketches."
,"A first-class want may be a program like since it's miles individual inviting, smooth to analyze and utilize, and furthermore, you do never again need to know the best approach to attract any regard with it to make proficient design portrays. Wite My Essay Help"
,"A first-class want may be a program like since it's miles individual inviting, smooth to analyze and utilize, and furthermore, you do never again need to know the best approach to attract any regard with it to make proficient design portrays. Wite My Essay Help"
,"you can find tons of other stuff too like free IMVU credits and even free steam wallet codes it all really just depends on what you're looking for as a gamer
it's so easy to get free PSN codes and you can also get free xbox live all you have to really be savvy enough to do the google search necessary to find them
If you wanted to pay for it though you could always earn free bitcoins to do it i suppose but i would rather get it free personally"
,you can find tons of other stuff too likefree IMVU credits and even free steam wallet codes it all really just depends on what you're looking for as a gamer it's so easy to get free PSN card codes and you can also get free xbox live gold codes all you have to really be savvy enough to do the google search necessary to find them If you wanted to pay for it though you could always earn free bitcoins to do it i suppose but i would rather get it free personally
,Thank you so much for sharing such useful and interesting information. Your website is highly effective and contains worthy content. I find it more enjoyable than any other show. |=>bloons tower defense 5 super smash flash 2
,"I'm likewise intrigued by adapting more about form plan. I have observed a large portion of these responses to be exceptionally useful. We are glad to tell you that it is currently conceivable to get dependable capstone venture composing help. Just tap on:
Assignment Services"
,"That's a good style, friend! Try yourself as a creative writer.You can definitely earn something! https://colorswitchaz.com"
,"I have observed a large portion of these responses to be exceptionally useful.Now
wait a little before you are contacted back with all the account information for
signing into the member’s area. Sign up today for availing thebest essay writing service UK."
,"Whatsapp Plus Apk
There have been many updates and mod of the WhatsApp messenger but WhatsApp Plus APK is the one mod of the WhatsApp which provides you with all of the features which you need in any messenger app.
Adblock Plus APK
The Adblock Plus APK does not require your mobile phone to be rooted. Nonrooted Android phone can also use this application without any difficulty."
,"Well, I can advise you to start with small things. For example, you can buy watercolor pencils for yourself. I can say that Arteza Watercolor Pencils  a pretty good option. I can give you a link to an article about these watercolor pencils. Here it is https://wowpencils.com/arteza-watercolor-pencils-review/. I think this might be a good option for you"
how do you find a grandmother you never met but know is still alive?,Google search?
"GF is having a trip outside of state to visit friends and family, but doesn’t want me to come. Should I be worried?",No. If she's never given you reason to worry then DON'T! It is asinine to do so!
,"I am married and I don't take my husband on every trip to visit family and friends. He'll just be bored.if you don't really know her family and friends, she would have to spend time and energy making sure you feel included. She probably wants to just go and relax a bit. Don't sweat it."
,No you shouldn't be worried!
,You don't measure up that is why?
,"Hey, we all need time to hang with friends without a boyfriend/girlfriend around.  It's a healthy thing.  Encourage her to have a great time!"
"I’m feeling really sick after having a few too many crisps. Any solutions, please?","Yes, practice self control next time.
I hope you feel better...."
,"Don't eat as many next time, or get snack sized packets."
"GF is having a trip outside of state to visit friends and family, but doesn’t want me to come. Should I be worried?",No. If she's never given you reason to worry then DON'T! It is asinine to do so!
,"I am married and I don't take my husband on every trip to visit family and friends. He'll just be bored.if you don't really know her family and friends, she would have to spend time and energy making sure you feel included. She probably wants to just go and relax a bit. Don't sweat it."
,No you shouldn't be worried!
,You don't measure up that is why?
,"Hey, we all need time to hang with friends without a boyfriend/girlfriend around.  It's a healthy thing.  Encourage her to have a great time!"
"i don't have many friends, people often try to ignore me or keep me out of convos i am no ones favorite friend what do i do what am i doing wrong?","You are one of those insignificant, inconspicuous and not of importance person. You must be very happy? For people to leave you alone."
,"I will give you a serious answer cuz maybe you got off on the wrong foot here....
You lack confidence. People react to polite confidence. Good luck to you. ?"
,To have a friend you have to be a friend.
,"may be you become sad for little things, you do not see the reason that why others do this with me.or you are such a overconfident person who think others stupid .or underconfident person"
,"From here it appears they r like the schoolyard bullies.
Cut them loose and find someone who will like u for u. U r better off alone than with ppl who treat u this way."
Who is God?? Is God real??,"Men make gods, not the other way around, this accounts for the large number of different gods in different ages and cultures.
If you can't explain something, invent a god who made it. Don't like the idea of dying? Invent an afterlife.
Inventing a deity solves SO many problems."
,"It depends on who you ask. To many people, God is a figment of the imagination with a book that is as meaningless as the Twilight series. To others, such as myself, God is the one true God that is alive to this very day. He created the universe and everything in it. God's book, the Bible, is the foundation for everything we believe. Best of luck my friend!"
,"I have no idea. I don't know for sure if there is a god or not. I don't believe in one. For all I know, there might have been a great celestial being who was dying out because he was the last of his kind and he decided to use that up by turning the rest of his life force into this universe. I don't know."
,"Who is God?? - What name do you give that which has created? God? If so, then man is God. Man created the many aspects regarding the concept of God/Gods. In early writings and etchings, it was the concept of God/Gods that man brought into this world to answer questions unanswerable at the time.
Is God real?? - What is Real? What is perceived to be based on our worldview of reality? If so, would Santa Claus be real to a 4 year old whom was indoctrinated to believe so? The idea of free presents given by an Omnipresent man made from his magical elves, is enough for any simple minded child to create many confirmation biases to keep the illusion alive. Is it any wonder why the scriptures call for believers to be ""Child like in their faith""?"
,"Just want to add this. My nephew before he turned 1 year old always referred to his mother by saying ma or maam!! Baby speech. Of course he can't talk yet. My question is, how did he know that's his mom ? No one ever told him and for sure no one ever called his mother that."
,"It depends on you, if you believe , then it 's real, it's on our mind, but I have an advice, in our life, it's better to have a believing, it can make us be confident to do somethings."
,"I believe in something or else they'd be nothing. Goodness and mind none of which can be seen or measured, love cannot be measured either.
 If I watch TV it tends to be along the lines of David Attenborough, humans living in diverse settings or history. What have I learned? That mankind is unnatural in its way, and destructive, we wasn't always so. That tribes live long lives without western medicine, for they have lived in harmony with the spirit of nature. It hasn't been western society teaching tribal culture how to cure but the other way round. Much of our sickness is due to living in close proximity and the state of our food source.  
As for religious texts many point to Sumer the first civilisation whether they have created many gods or used all those god traits in one. Why did we settle and create elaborate buildings and sewage systems? Domesticate cattle and wild grass, create a banking system? All that has ended us here. Wherever we are so is concrete, toxins and poverty. Why would nomad tribes who lived in harmony with the land for thousands of years, choose to settle when common sense told them that creating a surplus food supply makes it vulnerable to control? Whoever controls the food source controls everyone. People talk about religious ideas brainwashing man, many ideas brainwash man besides religion. If they didn't we certainly wouldn't be working at least 40 hours a week, or being fined for rules we did not make. Common law says you ""must not harm your neighbour."" Yet here we are bogged down with statutes and contract law of which none follow that common law, they are there to make our corporations money and everything is a corporation a legal entity.  Still they have enslaved and examined human interaction for years.
 Bill Gates is for vaccination to control the population. Their intent has always been create conflict through polarity, create the solution once society has had enough and has no where else to turn. Then society remains loyal to their masters. Put Christian up against Muslim, Atheist up against Theist and Republican up against Democrat. The result is the same totalitarianism masked as choice.
https://m.youtube.com/watch?v=7XRUEuVP2qE
We shall unleash the nihilists and the atheists and we shall provoke a great social cataclysm which in all its horror will show clearly to all nations the effect of absolute atheism; the origins of savagery and of most bloody turmoil.Then everywhere, the people will be forced to defend themselves against the world minority of the world revolutionaries and will exterminate those destroyers of civilization and the multitudes disillusioned with Christianity whose spirits will be from that moment without direction and leadership and anxious for an ideal, but without knowledge where to send its adoration, will receive the true light through the universal manifestation of the pure doctrine of Lucifer brought finally out into public view. A manifestation which will result from a general reactionary movement which will follow the destruction of Christianity and Atheism; both conquered and exterminated at the same time.
Albert Pike."
,God can be whatever or whomever. Hey we have santa clause the easter bunny. So who says their not real
,"Let me answer your questions in reverse.
Is God real?---my answer is ""yes"", I think so""---and I think that for numerous reasons.
Many will say ""no"" also for numerous reasons.
Either they are right or I am right---God's existence is not contingent upon what any human thinks or believes about His existence.
Who is God?    Well, any God worthy of the name would be at least as good as the best person I know, would be all powerful, and would have every good quality I could ever imagine. (Of course, you could think he is cruel and uncaring---but who would want such a God?)
If you want to find Him, you can; and He will reveal Himself to you.
Of course, many people with disagree with me, so maybe the best thing to do is to seek Him by yourself."
,"God or gods are real.  What they want, who knows?  Religions speculate a lot on the subject.  I believe in the Jewish/Christian/Islamic god.  That does not make me right, I just real it does.  The existence of a god is incontestable. 
St Thomas Aquinas in his 5 proofs of god described it well, either the universe has always existed, came from something else, or was created.  If you accept the first, fine.  If you accept the second, it just pushes the question backwards and is essentially a version of the first, so fine.  If you accept the third you are accepting the existence of a god.  The same arguments to be assigned to where god came from only all three point to a god so for that it is cyclic logic and therefore invalid.
The reason I consider Aquinas's arguments as valid is not where the world/universe came from but rather where did life come from.  I wrote a response discussing life elsewhere on blurt it (philosophy-religion.blurtit.com/4411070/why-do-people-believ).
The steady state theory of the universe, that is to say the theory the universe has always existed has been universally abandoned by all scientific theories. This means life could not have always existed.  Even if you accept the universe came from something else and can be pushed back infinity in time such that the matter/energy that makes up the universe has always existed, with the universe coming into existence especially as described by the Big Bang theory, life did not exist at that moment.  Therefore life came about within the universe.  As described in  my referenced article, life is not unlikely even given the trillions or more of astronomical bodies, it is not improbable, it is not near impossible, IT IS IMPOSSIBLE to occur naturally.  It required a deliberate act.
Please note that the article does not even begin to indicate the actual odds against life.  There are literally hundreds of major biochemical systems within even the simplest of living organisms.  The computations were for just one part of one system.  And as I said randomly it might be possible for any single DNA strand or RNA strand or polypeptide or any lipid or other component to be created by natural means but for all the components to be created all in the same place and at the same time in the exact ratios needed and to be enclosed and segregated such that the biochemical chain of reactions we call life could take place is impossible.
Oh and I have read the theories that life started as a short chain retro virus.  Possibly.  But a retro virus can not reproduce.  It does not have any metabolic pathways.  It depends solely upon the pathways of what ever LIVING cell it enters. That requires some other complete system.  Maybe the retro virus did come first, but it was not alive (depending on your definition of living, it is not alive as it cannot reproduce) until the living cell was subsequently appeared.  Under natural circumstances a single retro virus without any form of host will eventually be broken down.
There is a god or gods.  They may or may not care about us.  They may or may not even know we exist, life itself may be some unnoticed side affect of something they did eons ago.  If life on the earth is deliberate, we may actually be nothing more than a petri dish for making a vaccine or biological weapon.  As to whether any god desires worship, we cannot really know only think and/or believe.  As to whether any god has established rules for our lives, the same. 
I choose to believe that a least one god ""created"" us deliberately and that it cares what happens to us.  How you choose to view the gods is your choice, but I consider you are probably ignorant of biology and biochemistry if you consider life as occurring completely naturally."
,"God is For real for ever ! As we're alive !
He created us and created everything ! He saw everything ..!
If you read bible you can easily understand who he is
i describe him in just one word
""LOVE""!"
,"Depends on the answer to the following question.

""How old are you?""

If you are under a certain age, with religious parents who fearfully indoctrinate the only people gullible enough to accept the nonsense they peddle in a desperate attempt to ensure the next generation keeps making the same mistakes? I'm not going to tell you the truth. Go ahead and keep believing in a daddy god. Sweetie.

If you are over a certain, age, then you need to get over it. There is no god."
,"How do you really know that God is real? How do you know somebody
didn't just make Him up so we'd all feel better, and then passed that
information down to us? What if we made up God to feel less alone?""
These
are really good questions and we have answers for them. But questions
like these strike fear into the hearts of most parents, so we react with
the holy sounding dodge: ""Um, well, we just have to believe. The Bible
says blessed are those who have not seen and yet still believe."""
,"Have u ever felt something so strongly...no one could talk u out of it? That u just know?
That is how I feel and how I know God is real.
It happened while I was reading the Bible, maybe a few months ago, I just felt something inside me. Its hard to explain what it was but from that day on...I just knew."
,"Have no idea, never met him but heard of him. Quite a evasive character."
,yes he is.
,"it's all depends on you do you feel god,is there is someone who always with you in harsh situation,is there is someone who fulfill all your right wishes
man your god is your parents ??"
How do I get my question answered on Blurtit?,"If you ask a question, you will most likely get an answer if someone has the knowledge required to answer it.
However, there are some simple things askers can do to make it more likely they will get an answer:
Have a human avatar (it helps answerers feel like they're addressing someone, or helping someone out)
Ask the question in a clear and concise way. Some questions put people off when they are rambling and incoherent.
Don't be too specific. If you ask something like 'what is the puk code to my Samsung galaxy note with the the phone number 04882044005' - very few people will feel like they can help out.

Whereas, the answer to 'How do I find the PUK code on a Samsung?' might resonate with more people and be just as useful.
Ask something interesting.

Yes, we're here to try and help people out regardless of what the question is - but it's nice to answer interesting questions, so these will always get more attention."
,If you wants to play the free online cards game then must have to play freecell online once for better card game experience and enjoy the freecell without any charge.
,"If you have a particular blog or website that you would like to promote then you can link to that in your profile bio, or link to it in an answer if it's relevant. Play five nights at freddy's demo online, the best survival games online."
,"Hello! If your question does no look spammy and that
it deals with a fun topic, it will definitely get answered by the community.
You can also adjust your post if you see that things are not working out as
expected. You don’t really need to do more to be frank! All the best!"
,"I've had one or 2 questions go unanswered, but most get at least a couple responses."
,By us blurting it.
,don't worry soon you'll get your answer.
,wow good information provide i like this topic free gift card generator
,Thanks for great sharing
what is your opinion on atheist? i am a atheist that goes to a private christian school.. please all u christens bash me for going to a christen school and not being one,"My opinion is, ANONYMOUS, that you just want to stir up arguments on here so take your question and shove it. (Or at least ask while NOT hiding!)"
,Pissed up with zealots hue ha about god?  Blown everything out of proportion?
what is your opinion on atheist? i am a atheist that goes to a private christian school.. please all u christens bash me for going to a christen school and not being one,"My opinion is, ANONYMOUS, that you just want to stir up arguments on here so take your question and shove it. (Or at least ask while NOT hiding!)"
,Pissed up with zealots hue ha about god?  Blown everything out of proportion?
Its national spouses day. National peanut brittle day. And national have fun at work day. So what do u have at work doing??????????????????????????????????????,National spouses day? I have had a spouse for 21 years as of today. ???
,"I have fun everyday! Teeheehee! ??
I'll love my spouse for all my days. ??
And I'll eat a piece of peanut brittle anytime of day! ??
It is a good day!! ??"
,Everyday is my spouse's day. Does nothing but still has ball.
,Yeah for peanut brittle!!! Love it haven't had any in a while now I want some.
,"I'm all for a day that honors my late spouse.  I enjoy peanut brittle if it's homemade and fresh.  And now that I'm retired, I have all kinds of fun at work!  :)"
How do I get my question answered on Blurtit?,"If you ask a question, you will most likely get an answer if someone has the knowledge required to answer it.
However, there are some simple things askers can do to make it more likely they will get an answer:
Have a human avatar (it helps answerers feel like they're addressing someone, or helping someone out)
Ask the question in a clear and concise way. Some questions put people off when they are rambling and incoherent.
Don't be too specific. If you ask something like 'what is the puk code to my Samsung galaxy note with the the phone number 04882044005' - very few people will feel like they can help out.

Whereas, the answer to 'How do I find the PUK code on a Samsung?' might resonate with more people and be just as useful.
Ask something interesting.

Yes, we're here to try and help people out regardless of what the question is - but it's nice to answer interesting questions, so these will always get more attention."
,If you wants to play the free online cards game then must have to play freecell online once for better card game experience and enjoy the freecell without any charge.
,"If you have a particular blog or website that you would like to promote then you can link to that in your profile bio, or link to it in an answer if it's relevant. Play five nights at freddy's demo online, the best survival games online."
,"Hello! If your question does no look spammy and that
it deals with a fun topic, it will definitely get answered by the community.
You can also adjust your post if you see that things are not working out as
expected. You don’t really need to do more to be frank! All the best!"
,"I've had one or 2 questions go unanswered, but most get at least a couple responses."
,By us blurting it.
,don't worry soon you'll get your answer.
,wow good information provide i like this topic free gift card generator
,Thanks for great sharing
Who is God?? Is God real??,"Men make gods, not the other way around, this accounts for the large number of different gods in different ages and cultures.
If you can't explain something, invent a god who made it. Don't like the idea of dying? Invent an afterlife.
Inventing a deity solves SO many problems."
,"It depends on who you ask. To many people, God is a figment of the imagination with a book that is as meaningless as the Twilight series. To others, such as myself, God is the one true God that is alive to this very day. He created the universe and everything in it. God's book, the Bible, is the foundation for everything we believe. Best of luck my friend!"
,"I have no idea. I don't know for sure if there is a god or not. I don't believe in one. For all I know, there might have been a great celestial being who was dying out because he was the last of his kind and he decided to use that up by turning the rest of his life force into this universe. I don't know."
,"Who is God?? - What name do you give that which has created? God? If so, then man is God. Man created the many aspects regarding the concept of God/Gods. In early writings and etchings, it was the concept of God/Gods that man brought into this world to answer questions unanswerable at the time.
Is God real?? - What is Real? What is perceived to be based on our worldview of reality? If so, would Santa Claus be real to a 4 year old whom was indoctrinated to believe so? The idea of free presents given by an Omnipresent man made from his magical elves, is enough for any simple minded child to create many confirmation biases to keep the illusion alive. Is it any wonder why the scriptures call for believers to be ""Child like in their faith""?"
,"Just want to add this. My nephew before he turned 1 year old always referred to his mother by saying ma or maam!! Baby speech. Of course he can't talk yet. My question is, how did he know that's his mom ? No one ever told him and for sure no one ever called his mother that."
,"It depends on you, if you believe , then it 's real, it's on our mind, but I have an advice, in our life, it's better to have a believing, it can make us be confident to do somethings."
,"I believe in something or else they'd be nothing. Goodness and mind none of which can be seen or measured, love cannot be measured either.
 If I watch TV it tends to be along the lines of David Attenborough, humans living in diverse settings or history. What have I learned? That mankind is unnatural in its way, and destructive, we wasn't always so. That tribes live long lives without western medicine, for they have lived in harmony with the spirit of nature. It hasn't been western society teaching tribal culture how to cure but the other way round. Much of our sickness is due to living in close proximity and the state of our food source.  
As for religious texts many point to Sumer the first civilisation whether they have created many gods or used all those god traits in one. Why did we settle and create elaborate buildings and sewage systems? Domesticate cattle and wild grass, create a banking system? All that has ended us here. Wherever we are so is concrete, toxins and poverty. Why would nomad tribes who lived in harmony with the land for thousands of years, choose to settle when common sense told them that creating a surplus food supply makes it vulnerable to control? Whoever controls the food source controls everyone. People talk about religious ideas brainwashing man, many ideas brainwash man besides religion. If they didn't we certainly wouldn't be working at least 40 hours a week, or being fined for rules we did not make. Common law says you ""must not harm your neighbour."" Yet here we are bogged down with statutes and contract law of which none follow that common law, they are there to make our corporations money and everything is a corporation a legal entity.  Still they have enslaved and examined human interaction for years.
 Bill Gates is for vaccination to control the population. Their intent has always been create conflict through polarity, create the solution once society has had enough and has no where else to turn. Then society remains loyal to their masters. Put Christian up against Muslim, Atheist up against Theist and Republican up against Democrat. The result is the same totalitarianism masked as choice.
https://m.youtube.com/watch?v=7XRUEuVP2qE
We shall unleash the nihilists and the atheists and we shall provoke a great social cataclysm which in all its horror will show clearly to all nations the effect of absolute atheism; the origins of savagery and of most bloody turmoil.Then everywhere, the people will be forced to defend themselves against the world minority of the world revolutionaries and will exterminate those destroyers of civilization and the multitudes disillusioned with Christianity whose spirits will be from that moment without direction and leadership and anxious for an ideal, but without knowledge where to send its adoration, will receive the true light through the universal manifestation of the pure doctrine of Lucifer brought finally out into public view. A manifestation which will result from a general reactionary movement which will follow the destruction of Christianity and Atheism; both conquered and exterminated at the same time.
Albert Pike."
,God can be whatever or whomever. Hey we have santa clause the easter bunny. So who says their not real
,"Let me answer your questions in reverse.
Is God real?---my answer is ""yes"", I think so""---and I think that for numerous reasons.
Many will say ""no"" also for numerous reasons.
Either they are right or I am right---God's existence is not contingent upon what any human thinks or believes about His existence.
Who is God?    Well, any God worthy of the name would be at least as good as the best person I know, would be all powerful, and would have every good quality I could ever imagine. (Of course, you could think he is cruel and uncaring---but who would want such a God?)
If you want to find Him, you can; and He will reveal Himself to you.
Of course, many people with disagree with me, so maybe the best thing to do is to seek Him by yourself."
,"God or gods are real.  What they want, who knows?  Religions speculate a lot on the subject.  I believe in the Jewish/Christian/Islamic god.  That does not make me right, I just real it does.  The existence of a god is incontestable. 
St Thomas Aquinas in his 5 proofs of god described it well, either the universe has always existed, came from something else, or was created.  If you accept the first, fine.  If you accept the second, it just pushes the question backwards and is essentially a version of the first, so fine.  If you accept the third you are accepting the existence of a god.  The same arguments to be assigned to where god came from only all three point to a god so for that it is cyclic logic and therefore invalid.
The reason I consider Aquinas's arguments as valid is not where the world/universe came from but rather where did life come from.  I wrote a response discussing life elsewhere on blurt it (philosophy-religion.blurtit.com/4411070/why-do-people-believ).
The steady state theory of the universe, that is to say the theory the universe has always existed has been universally abandoned by all scientific theories. This means life could not have always existed.  Even if you accept the universe came from something else and can be pushed back infinity in time such that the matter/energy that makes up the universe has always existed, with the universe coming into existence especially as described by the Big Bang theory, life did not exist at that moment.  Therefore life came about within the universe.  As described in  my referenced article, life is not unlikely even given the trillions or more of astronomical bodies, it is not improbable, it is not near impossible, IT IS IMPOSSIBLE to occur naturally.  It required a deliberate act.
Please note that the article does not even begin to indicate the actual odds against life.  There are literally hundreds of major biochemical systems within even the simplest of living organisms.  The computations were for just one part of one system.  And as I said randomly it might be possible for any single DNA strand or RNA strand or polypeptide or any lipid or other component to be created by natural means but for all the components to be created all in the same place and at the same time in the exact ratios needed and to be enclosed and segregated such that the biochemical chain of reactions we call life could take place is impossible.
Oh and I have read the theories that life started as a short chain retro virus.  Possibly.  But a retro virus can not reproduce.  It does not have any metabolic pathways.  It depends solely upon the pathways of what ever LIVING cell it enters. That requires some other complete system.  Maybe the retro virus did come first, but it was not alive (depending on your definition of living, it is not alive as it cannot reproduce) until the living cell was subsequently appeared.  Under natural circumstances a single retro virus without any form of host will eventually be broken down.
There is a god or gods.  They may or may not care about us.  They may or may not even know we exist, life itself may be some unnoticed side affect of something they did eons ago.  If life on the earth is deliberate, we may actually be nothing more than a petri dish for making a vaccine or biological weapon.  As to whether any god desires worship, we cannot really know only think and/or believe.  As to whether any god has established rules for our lives, the same. 
I choose to believe that a least one god ""created"" us deliberately and that it cares what happens to us.  How you choose to view the gods is your choice, but I consider you are probably ignorant of biology and biochemistry if you consider life as occurring completely naturally."
,"God is For real for ever ! As we're alive !
He created us and created everything ! He saw everything ..!
If you read bible you can easily understand who he is
i describe him in just one word
""LOVE""!"
